#BIN	j	AVG_AF	LOWER_BOUND	UPPER_BOUNDs
1	740164	0.00149999999999	0.0015	0.0015
2	51355	0.002	0.0015	0.002
3	518545	0.00230000000001	0.002	0.0023
4	430070	0.003	0.0023	0.003
5	308657	0.00379999999998	0.003	0.0038
6	277993	0.00445239268615	0.0038	0.0045
7	233054	0.00527341431601	0.0045	0.0053
8	195741	0.00609191176094	0.0053	0.0061
9	158097	0.0068	0.0061	0.0068
10	151653	0.00754926312042	0.0068	0.0076
11	138418	0.00827598144748	0.0076	0.0083
12	125271	0.00909176505336	0.0083	0.0091
13	104488	0.00980000000002	0.0091	0.0098
14	105066	0.0105475072811	0.0098	0.0106
15	97459	0.0112749617788	0.0106	0.0113
16	90214	0.0120918017159	0.0113	0.0121
17	77093	0.0129	0.0121	0.0129
18	78250	0.0135489789137	0.0129	0.0136
19	75483	0.0143641826637	0.0136	0.0144
20	69585	0.0150920284544	0.0144	0.0151
21	61752	0.0159	0.0151	0.0159
22	63196	0.0165466611811	0.0159	0.0166
23	60538	0.0173579685487	0.0166	0.0174
24	56843	0.0181766567563	0.0174	0.0182
25	55392	0.0189	0.0182	0.0189
26	47232	0.0197	0.0189	0.0197
27	49315	0.0203568184122	0.0197	0.0204
28	48321	0.0211754082076	0.0204	0.0212
29	45794	0.0219	0.0212	0.0219
30	43490	0.0227161094504	0.0219	0.0229
31	41286	0.0234395654701	0.0229	0.0239
32	75674	0.0246050664694	0.0239	0.025
33	70595	0.0260878093349	0.025	0.0265
34	69580	0.0275742382869	0.0265	0.028
35	60301	0.0290809654898	0.028	0.0295
36	59429	0.0306230678625	0.0295	0.031
37	53626	0.0321372244807	0.031	0.0325
38	52256	0.0336250421005	0.0325	0.034
39	46870	0.0351761553232	0.034	0.0356
40	46773	0.0366744724521	0.0356	0.0371
41	42832	0.0381855155025	0.0371	0.0386
42	41516	0.0396668657867	0.0386	0.0401
43	56558	0.0415814190742	0.0401	0.0424
44	52698	0.0438264810809	0.0424	0.0446
45	49564	0.0460965216689	0.0446	0.0469
46	45054	0.0484220490966	0.0469	0.0492
47	42549	0.050637340478	0.0492	0.0514
48	51778	0.0533026265982	0.0514	0.0545
49	47848	0.0562968002842	0.0545	0.0575
50	43798	0.0593180875839	0.0575	0.0605
51	40165	0.0623342512137	0.0605	0.0635
52	46846	0.0657547517398	0.0635	0.0673
53	41385	0.0695176054126	0.0673	0.0711
54	44405	0.0737092039185	0.0711	0.0756
55	40707	0.0782259562237	0.0756	0.0802
56	41728	0.0831255703604	0.0802	0.0855
57	42425	0.0887728697702	0.0855	0.0915
58	41194	0.0951887168034	0.0915	0.0983
59	42568	0.102743029976	0.0983	0.1067
60	40485	0.11141656416	0.1067	0.1157
61	40686	0.1218986064	0.1157	0.1278
62	41174	0.135730657697	0.1278	0.1437
63	40761	0.15451971983	0.1437	0.1664
64	40404	0.184521322146	0.1664	0.2065
65	40013	0.265690385625	0.2065	0.4713
66	40094	0.879800623535	0.4713	0.9667
67	16596	0.983725156664	0.9667	0.9985
