Count Count Count Count Count Count Count Count Count Count Count Count Count Count Count
5639 433 2477 1674 1041 877 653 504 707 544 544 456 504 445 322
9783 732 4358 2900 1829 1538 1123 881 1215 890 892 779 830 737 524
3325 335 1553 1053 582 525 339 321 436 317 314 309 303 256 172
1842 171 877 623 357 285 233 131 212 183 171 158 140 131 83
7427 661 3398 2207 1357 1129 779 658 972 687 656 647 599 568 359
2119 201 978 708 398 319 266 208 294 206 201 195 206 178 123
2611 183 1143 797 481 414 291 245 288 225 256 219 230 214 118
7028 565 3138 2154 1301 1054 780 588 842 649 587 523 592 519 368
1740 161 767 532 291 248 172 155 229 160 158 136 140 139 94
2719 232 1180 775 504 421 334 240 330 267 261 233 209 201 141
17944 1421 7960 5393 3102 2737 1989 1527 2179 1624 1605 1496 1449 1314 912
3609 360 1651 1114 674 558 425 341 455 359 386 313 335 264 168
5413 510 2428 1632 949 900 584 452 612 503 487 419 421 395 258
4174 329 1858 1193 733 629 477 349 503 349 392 345 355 289 184
16197 1268 7142 4800 2897 2486 1781 1357 1985 1493 1503 1220 1322 1182 780
6812 552 2918 2081 1185 1021 755 575 890 607 608 557 545 563 290
2517 187 1096 742 441 349 284 218 323 278 214 167 230 184 149
9898 731 4304 2872 1721 1395 1074 840 1115 867 902 780 735 756 476
1214 82 529 332 219 182 134 101 167 107 118 88 94 78 68
768 56 328 254 169 123 96 69 92 71 62 48 53 63 37
27792 1872 11970 7699 4608 3816 2805 2308 3188 2219 2374 2074 2036 1787 1195
3242 284 1459 995 602 472 391 273 420 305 283 238 256 205 160
4230 330 1832 1207 703 626 446 359 520 394 378 344 349 345 206
11353 886 5087 3327 2028 1762 1222 980 1392 1036 983 902 944 816 567
11052 920 4843 3392 1892 1655 1182 956 1305 1047 974 851 838 779 492
6720 494 3040 2027 1172 984 804 557 877 602 647 568 546 462 323
5702 543 2401 1726 1044 888 641 502 700 539 599 488 492 402 272
11251 917 5036 3356 1987 1686 1274 949 1393 1000 1042 928 892 826 500
2622 179 1245 814 509 395 297 216 364 252 238 205 180 198 121
2653 222 1183 823 453 382 303 235 314 217 229 198 215 180 112
13761 1124 6182 4218 2508 2079 1594 1194 1796 1362 1286 1056 1159 1083 668
4158 274 1861 1201 720 609 436 350 455 387 394 341 319 323 193
2993 258 1298 813 523 422 343 267 379 273 277 225 230 206 153
3556 322 1609 1127 650 566 394 336 436 333 325 267 298 235 177
20569 1606 9136 6080 3639 3082 2269 1842 2541 1939 1903 1680 1697 1577 985
2074 208 961 611 367 348 230 189 242 186 196 198 187 165 114
4231 358 1957 1277 783 664 472 363 590 442 430 357 382 351 209
6512 499 2885 1965 1157 993 726 572 817 594 599 554 537 500 306
1295 101 586 389 218 201 144 129 164 120 114 101 104 90 73
4317 370 1881 1322 771 622 503 398 528 409 411 369 361 328 208
19265 1386 8621 5691 3457 2801 2159 1650 2397 1702 1780 1543 1532 1383 978
3436 259 1502 1008 611 486 392 300 438 300 316 288 292 258 158
3375 239 1454 956 606 511 407 296 444 312 290 286 271 242 165
6913 498 2982 2045 1156 1049 717 571 796 575 656 588 539 545 357
1660 138 762 491 280 230 211 137 229 156 138 146 156 146 85
2711 242 1168 753 465 378 264 199 284 224 238 158 196 173 98
6874 480 3085 2018 1248 1022 789 623 877 621 644 494 606 553 381
2147 181 966 686 368 303 233 185 272 192 200 167 192 163 94
2986 197 1331 849 555 428 351 252 358 258 277 208 221 212 156
9646 629 4231 2826 1684 1344 1070 776 1168 855 859 802 744 672 485
2113 172 923 605 400 333 222 187 278 186 193 180 162 154 92
3830 317 1769 1101 633 570 412 308 494 321 345 289 279 265 191
2889 188 1282 882 500 407 291 256 343 312 283 254 242 232 127
11128 855 4940 3245 1989 1631 1247 911 1368 1043 992 927 870 852 518
3641 259 1523 1055 663 506 370 310 439 337 350 304 272 265 149
3487 229 1595 1074 665 536 402 302 440 344 333 322 292 244 194
9988 739 4347 2891 1789 1444 1060 868 1229 904 844 792 793 708 489
927 49 444 320 152 154 100 70 141 93 93 66 78 77 43
903 55 436 270 186 128 108 85 121 89 94 82 85 71 56
23913 1432 10214 6513 4009 3173 2365 1918 2649 1967 1992 1675 1783 1560 1001
17009 1126 7220 4719 2858 2417 1724 1335 1930 1447 1455 1284 1216 1091 722
826 57 370 244 160 139 98 86 109 74 83 77 75 55 50
871 54 364 241 159 138 113 82 103 71 73 64 65 70 42
19645 1258 8574 5471 3230 2572 1945 1501 2169 1667 1671 1398 1476 1383 827
540 28 272 183 86 79 57 42 82 55 52 55 54 42 26
1387 73 597 413 260 193 159 116 170 127 123 133 113 123 60
1231 120 539 376 211 192 143 92 157 116 104 90 100 88 56
5974 455 2535 1726 1075 905 655 552 727 580 533 458 504 430 324
1241 119 568 393 235 216 141 110 157 117 124 96 95 104 62
1763 143 750 523 311 255 196 155 225 150 177 131 122 137 93
4787 374 2034 1426 854 657 492 377 541 394 393 329 379 324 212
