#BIN	j	AVG_AF	LOWER_BOUND	UPPER_BOUNDs
1	548368	0.00199999999998	0.002	0.002
2	41747	0.0026	0.002	0.0026
3	241552	0.00300000000001	0.0026	0.003
4	161220	0.0039885020469	0.003	0.004
5	96375	0.005	0.004	0.005
6	80482	0.0058948535076	0.005	0.006
7	60061	0.0068539867801	0.006	0.0069
8	46619	0.00790000000001	0.0069	0.0079
9	66672	0.00934416996641	0.0079	0.0099
10	49236	0.0113270655618	0.0099	0.0119
11	49519	0.0137998990287	0.0119	0.0149
12	43418	0.0172120249666	0.0149	0.0188
13	43642	0.0223627377297	0.0188	0.0258
14	40029	0.0322970421445	0.0258	0.0407
15	26152	0.0919950978893	0.0407	0.998
