Panel	SGDP_ID	Population_ID	Region	Country	Contributor	Gender	Latitude	Longitude	Coverage	HetRateAuto													
C	S_BantuHerero-1	BantuHerero	Africa	BotswanaOrNamibia	Howard Cann	M	-22.0	19.0	43	0.00095													
C	S_BantuHerero-2	BantuHerero	Africa	BotswanaOrNamibia	Howard Cann	M	-22.0	19.0	39	0.00097													
C	S_BantuKenya-1	BantuKenya	Africa	Kenya	Howard Cann	M	-3.0	37.0	30	0.00097													
C	S_BantuKenya-2	BantuKenya	Africa	Kenya	Howard Cann	F	-3.0	37.0	36	0.00096													
C	S_BantuTswana-1	BantuTswana	Africa	BotswanaOrNamibia	Howard Cann	M	-28.0	24.0	42	0.00101													
C	S_BantuTswana-2	BantuTswana	Africa	BotswanaOrNamibia	Howard Cann	M	-28.0	24.0	37	0.001													
C	S_Biaka-1	Biaka	Africa	Central African Republic	Howard Cann	M	4.0	17.0	42	0.00101													
C	S_Biaka-2	Biaka	Africa	Central African Republic	Howard Cann	M	4.0	17.0	42	0.001													
B	B_Dinka-3	Dinka	Africa	Sudan	Michael Hammer	M	8.783333333	27.4	35	0.00092													
C	S_Dinka-1	Dinka	Africa	Sudan	Michael Hammer	M	8.8	27.4	38	0.00092													
C	S_Dinka-2	Dinka	Africa	Sudan	Michael Hammer	M	8.8	27.4	35	0.00092													
C	S_Esan-1	Esan	Africa	Nigeria	1KG	M	6.5	6.0	34	0.00096													
C	S_Esan-2	Esan	Africa	Nigeria	1KG	F	6.5	6.0	39	0.00096													
C	S_Gambian-1	Gambian	Africa	Gambia	1KG	M	13.4	16.7	38	0.00096													
C	S_Gambian-2	Gambian	Africa	Gambia	1KG	F	13.4	16.7	36	0.00096													
B	B_Ju_hoan_North-4	Ju_hoan_North	Africa	Namibia	Howard Cann	M	-18.93725689	21.45244764	38	0.00098													
C	S_Ju_hoan_North-1	Ju_hoan_North	Africa	Namibia	Howard Cann	M	-18.9	21.5	44	0.00097													
C	S_Ju_hoan_North-2	Ju_hoan_North	Africa	Namibia	Howard Cann	M	-18.9	21.5	32	0.00095													
C	S_Ju_hoan_North-3	Ju_hoan_North	Africa	Namibia	Howard Cann	M	-18.9	21.5	34	0.00095													
C	S_Khomani_San-1	Khomani_San	Africa	SouthAfrica	Brenna Henn	F	-27.0	20.8	44	0.0009													
C	S_Khomani_San-2	Khomani_San	Africa	SouthAfrica	Brenna Henn	F	-27.0	20.8	48	0.00097													
C	S_Luhya-1	Luhya	Africa	Kenya	Coriell	F	1.3	36.8	37	0.00097													
C	S_Luhya-2	Luhya	Africa	Kenya	Coriell	M	1.3	36.8	35	0.00096													
C	S_Luo-1	Luo	Africa	Kenya	Geoge Ayodo	M	-0.1	34.3	37	0.00097													
C	S_Luo-2	Luo	Africa	Kenya	Geoge Ayodo	F	-0.1	34.3	35	0.00097													
A	A_Mandenka-4	Mandenka	Africa	Senegal	Howard Cann	M	12	-12	25	0.00103													
B	B_Mandenka-3	Mandenka	Africa	Senegal	Howard Cann	M	12	-12	37	0.00097													
C	S_Mandenka-1	Mandenka	Africa	Senegal	Howard Cann	M	12.0	-12.0	33	0.00096													
C	S_Mandenka-2	Mandenka	Africa	Senegal	Howard Cann	F	12.0	-12.0	37	0.00096													
C	S_Masai-1	Masai	Africa	Kenya	Coriell	M	-1.5	35.2	45	0.00094													
C	S_Masai-2	Masai	Africa	Kenya	Coriell	M	-1.5	35.2	37	0.00094													
B	B_Mbuti-4	Mbuti	Africa	Congo	Howard Cann	M	1	29	37	0.00098													
C	S_Mbuti-1	Mbuti	Africa	Congo	Howard Cann	M	1.0	29.0	40	0.00096													
C	S_Mbuti-2	Mbuti	Africa	Congo	Howard Cann	F	1.0	29.0	35	0.00094													
C	S_Mbuti-3	Mbuti	Africa	Congo	Howard Cann	M	1.0	29.0	36	0.00095													
C	S_Mende-1	Mende	Africa	SierraLeone	1KG	M	8.5	-13.2	39	0.00098													
C	S_Mende-2	Mende	Africa	SierraLeone	1KG	F	8.5	-13.2	35	0.00098													
C	S_Mozabite-1	Mozabite	Africa	Algeria	Howard Cann	M	32.0	3.0	36	0.00078													
C	S_Mozabite-2	Mozabite	Africa	Algeria	Howard Cann	F	32.0	3.0	38	0.00082													
C	S_Saharawi-1	Saharawi	Africa	Western Sahara (Morocco)	David Comas	M	27.3	-8.9	45	0.00079													
C	S_Saharawi-2	Saharawi	Africa	Western Sahara (Morocco)	David Comas	M	27.3	-8.9	48	0.00081													
C	S_Somali-1	Somali	Africa	Kenya	Geoge Ayodo	F	5.6	48.3	39	0.00084													
B	B_Yoruba-3	Yoruba	Africa	Nigeria	Howard Cann	M	7.4	3.9	39	0.00097													
C	S_Yoruba-1	Yoruba	Africa	Nigeria	Howard Cann	F	7.4	3.9	34	0.00097													
C	S_Yoruba-2	Yoruba	Africa	Nigeria	Howard Cann	M	7.4	3.9	33	0.00096													
C	S_Chane-1	Chane	America	Argentina	Andres Ruiz-Linares / Claudio M. Bravi	M	-22.53	-63.82	55	0.00059													
A	A_Karitiana-4	Karitiana	America	Brazil	Howard Cann	M	-10	-63	27	0.00057													
B	B_Karitiana-3	Karitiana	America	Brazil	Howard Cann	M	-10	-63	36	0.00053													
C	S_Karitiana-1	Karitiana	America	Brazil	Howard Cann	M	-10.0	-63.0	43	0.00051													
C	S_Karitiana-2	Karitiana	America	Brazil	Howard Cann	F	-10.0	-63.0	37	0.00051													
C	S_Mayan-1	Mayan	America	Mexico	Howard Cann	F	19.0	-91.0	35	0.0006													
C	S_Mayan-2	Mayan	America	Mexico	Howard Cann	F	19.0	-91.0	42	0.00058													
B	B_Mixe-1	Mixe	America	Mexico	William Klitz / Cheryl Winkler	F	16.95	-96.58	37	0.00058													
C	S_Mixe-2	Mixe	America	Mexico	William Klitz / Cheryl Winkler	F	16.95	-96.58	44	0.00059													
C	S_Mixe-3	Mixe	America	Mexico	William Klitz / Cheryl Winkler	F	16.95	-96.58	44	0.00058													
C	S_Mixtec-1	Mixtec	America	Mexico	William Klitz / Cheryl Winkler	M	17.0	-97.0	42	0.00063													
C	S_Mixtec-2	Mixtec	America	Mexico	William Klitz / Cheryl Winkler	F	17.0	-97.0	44	0.00069													
C	S_Piapoco-1	Piapoco	America	Colombia	Howard Cann	F	3.0	-68.0	38	0.00053													
C	S_Piapoco-2	Piapoco	America	Colombia	Howard Cann	F	3.0	-68.0	35	0.00058													
C	S_Pima-1	Pima	America	Mexico	Howard Cann	M	29.0	-108.0	41	0.00059													
C	S_Pima-2	Pima	America	Mexico	Howard Cann	F	29.0	-108.0	35	0.00054													
C	S_Quechua-1	Quechua	America	Peru	Coriell	F	-13.5	-72.0	40	0.00061													
C	S_Quechua-2	Quechua	America	Peru	Coriell	M	-13.5	-72.0	42	0.00059													
C	S_Quechua-3	Quechua	America	Peru	Chris Tyler-Smith / Andres Ruiz-Linares	F	-13.5	-72.0	56	0.0006													
C	S_Surui-1	Surui	America	Brazil	Howard Cann	F	-11.0	-62.0	39	0.00051													
C	S_Surui-2	Surui	America	Brazil	Howard Cann	F	-11.0	-62.0	33	0.00049													
C	S_Zapotec-1	Zapotec	America	Mexico	William Klitz / Cheryl Winkler	M	16.5	-97.2	43	0.00062													
C	S_Zapotec-2	Zapotec	America	Mexico	William Klitz / Cheryl Winkler	M	16.5	-97.2	38	0.00062													
C	S_Aleut-1	Aleut	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	M	55.18	166	45	0.00071													
C	S_Aleut-2	Aleut	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	55.18	166	37	0.00069													
C	S_Altaian-1	Altaian	CentralAsiaSiberia	Russia	Mait Metspalu / Olga Posukh	M	50.840	85.654	31	0.00072													
C	S_Chukchi-1	Chukchi	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	M	69	169	45	0.00076													
C	S_Eskimo_Chaplin-1	Eskimo_Chaplin	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	M	64.48	172.86	44	0.00061													
C	S_Eskimo_Naukan-1	Eskimo_Naukan	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	66.02	169.71	46	0.00062													
C	S_Eskimo_Naukan-2	Eskimo_Naukan	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	66.02	169.71	44	0.00062													
C	S_Eskimo_Sireniki-1	Eskimo_Sireniki	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	M	64.4	173.9	42	0.00064													
C	S_Eskimo_Sireniki-2	Eskimo_Sireniki	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov	F	64.4	173.9	47	0.00064													
C	S_Even-1	Even	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	F	57.53	135.88	47	0.0007													
C	S_Even-2	Even	CentralAsiaSiberia	Russia	Rem Sukernik / Stanislav Dryomov / Elena Starikovskaya	M	57.53	135.88	39	0.00067													
