Context	X1mer	Count	Rate	context_in_genome	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
AAA->C	A->C	62020	1.74093977026724e-09	94426158	4431	4807	3995	5299	4217	4482	3337	3163	2991	2934	2939	2578	2994	1868	1215	1306	1104	1873	849	1178	838	538	3084
AAA->G	A->G	102027	2.86396101162618e-09	94426158	7461	8036	6567	8411	6710	7538	5631	5186	4710	4992	4596	4355	4885	3086	2006	2339	2038	3160	1401	2104	1323	888	4604
AAA->T	A->T	40467	1.13593372594976e-09	94426158	2850	3195	2557	3486	2708	3007	2272	2079	1903	1916	1907	1642	1965	1213	766	891	738	1263	532	736	559	302	1980
AAC->C	A->C	30152	2.25845768285449e-09	35387385	2577	2416	1891	2454	1924	2242	1589	1614	1306	1494	1354	1140	1371	872	578	753	603	855	468	634	364	288	1365
AAC->G	A->G	75217	5.63393511313566e-09	35387385	5430	5824	4799	6401	5072	5703	4053	3835	3381	3703	3465	3072	3546	2293	1394	1697	1474	2326	955	1632	1000	686	3476
AAC->T	A->T	22078	1.65369556653162e-09	35387385	1504	1746	1420	1966	1494	1647	1165	1153	1000	1088	1025	836	1075	700	413	499	343	647	235	453	312	169	1188
AAG->C	A->C	22259	1.22005980570607e-09	48358056	1562	1839	1421	1928	1414	1620	1226	1161	1038	1091	1006	935	1057	731	438	537	412	716	270	449	293	212	903
AAG->G	A->G	82206	4.50587341694924e-09	48358056	6376	6228	5120	6547	5455	6156	4432	4136	3836	4134	3679	3418	3779	2480	1699	2040	1668	2432	1178	1804	1127	853	3629
AAG->T	A->T	21987	1.20515094784399e-09	48358056	1580	1741	1497	1928	1489	1648	1161	1180	991	1084	999	846	1059	634	393	488	359	647	244	491	299	209	1020
AAT->C	A->C	28857	1.22219056100375e-09	62583026	2008	2332	1915	2552	1869	2215	1568	1492	1346	1355	1303	1144	1441	892	536	612	463	905	336	551	389	218	1415
AAT->G	A->G	159896	6.77213091943914e-09	62583026	11260	13090	10642	13759	11229	11889	8656	8103	7937	7591	7362	6612	7967	4904	3060	3379	2654	4878	1656	3050	2129	1222	6867
AAT->T	A->T	39328	1.66567246710176e-09	62583026	2744	3099	2549	3553	2699	2773	2131	2084	1716	1778	1798	1664	1999	1123	709	920	713	1215	538	760	557	290	1916
ACA->A	C->A	61447	3.31928824495016e-09	49068188	4543	4935	3973	5083	3940	4608	3303	3133	2780	2948	2838	2455	2877	1820	1188	1316	1203	1835	811	1139	779	500	3440
ACA->G	C->G	47372	2.55897477077447e-09	49068188	3251	3787	2910	3715	3029	3403	2607	2646	2526	2258	2181	1867	2143	1453	1048	1330	806	1376	650	940	597	451	2398
ACA->T	C->T	176548	9.53689685532997e-09	49068188	12601	13885	11396	15128	12013	13495	9495	8893	8249	8443	8151	7397	8423	5316	3274	3954	2955	5434	2088	3506	2392	1462	8598
ACC->A	C->A	50637	4.92853456347781e-09	27232936	3773	4016	3189	4062	3311	3743	2725	2669	2282	2480	2491	2238	2218	1461	983	1242	969	1474	751	1134	655	534	2237
ACC->G	C->G	23864	2.32269978124365e-09	27232936	1651	1910	1493	1724	1444	1619	1339	1452	1278	1216	1076	939	976	693	556	802	454	659	389	541	303	283	1067
ACC->T	C->T	92923	9.04426046649779e-09	27232936	7141	7457	5758	7344	5882	6881	4920	4608	4183	4769	4356	3866	4036	2817	1897	2323	1953	2755	1402	2138	1185	1079	4173
ACG->A	C->A	15632	7.57934407521171e-09	5466725	1160	1236	1016	1283	884	1103	831	830	687	821	714	615	692	482	316	409	320	517	239	351	243	166	717
ACG->G	C->G	14750	7.15169684681248e-09	5466725	1045	1086	853	1091	810	963	798	805	756	771	673	603	617	461	343	509	324	452	299	372	213	234	672
ACG->T	C->T	283912	1.37657800350659e-07	5466725	21117	22756	17262	21569	18514	20297	15481	14491	12698	15063	13180	12276	12585	8547	5650	7210	5978	9102	4413	6759	3730	3404	11830
ACT->A	C->A	30058	2.06822561977978e-09	38521791	2160	2371	1965	2628	2056	2251	1618	1644	1457	1398	1383	1210	1381	912	580	717	508	944	330	527	395	224	1399
ACT->G	C->G	40929	2.81623549111606e-09	38521791	2708	3250	2616	3304	2714	2909	2269	2378	2257	1916	1919	1621	1766	1224	933	1211	645	1187	520	750	520	361	1951
ACT->T	C->T	127606	8.78029138457711e-09	38521791	9122	10175	8384	10847	8454	9868	6847	6546	5895	6045	6068	5332	6069	3830	2451	2830	2200	4070	1546	2591	1684	1029	5723
TCT->T	C->T	116620	5.73472693673951e-09	53901965	9036	9240	7236	9412	7531	8751	6323	5817	5266	5617	5268	4904	5438	3403	2176	2669	2270	3534	1624	2407	1513	1004	6181
TCT->G	C->G	60364	2.96836783407086e-09	53901965	4199	4977	3853	4629	3783	4218	3390	3460	3397	2862	2790	2442	2617	1806	1267	1776	1061	1712	801	1233	741	582	2768
TCT->A	C->A	47669	2.34409791071374e-09	53901965	3416	3677	3211	4267	3291	3570	2533	2421	2098	2170	2273	2039	2367	1439	832	984	759	1477	519	820	619	346	2541
GCT->T	C->T	94637	7.71699212897224e-09	32505527	7151	7233	5825	7893	6155	7204	5044	4732	4129	4687	4488	4130	4265	2849	1748	2299	1835	2855	1315	2127	1290	950	4433
GCT->G	C->G	24807	2.02283909827461e-09	32505527	1841	2024	1482	1797	1444	1725	1366	1503	1383	1250	1081	973	988	778	584	796	499	701	380	519	287	342	1064
GCT->A	C->A	22133	1.80479291176329e-09	32505527	1661	1725	1369	1795	1430	1540	1196	1186	1036	1119	1067	880	995	669	457	594	429	697	324	462	293	213	996
CCT->T	C->T	118479	7.62037430239703e-09	41210642	9289	9261	7309	9371	7497	8647	6458	6110	5041	6200	5560	4947	5214	3465	2291	2977	2526	3483	1772	2719	1518	1449	5375
CCT->G	C->G	30279	1.94749545068982e-09	41210642	2132	2492	1840	2209	1888	2047	1694	1735	1663	1519	1366	1215	1154	927	711	1012	602	882	461	690	376	401	1263
CCT->A	C->A	28494	1.8326871882148e-09	41210642	2069	2200	1823	2404	1882	2058	1495	1487	1374	1402	1358	1235	1230	862	580	712	511	808	400	648	343	303	1310
TAT->T	A->T	41516	2.10282258362323e-09	52330776	3051	3465	2703	3600	2756	2921	2197	2134	1915	1939	1920	1642	2063	1211	714	911	773	1281	565	682	525	282	2266
TAT->G	A->G	199715	1.01157436238634e-08	52330776	14049	16271	13294	17525	14027	14799	10544	10274	9364	8925	9221	8189	10246	6187	3687	3944	3232	6312	1959	3611	2718	1421	9916
TAT->C	A->C	31812	1.61130629227821e-09	52330776	2241	2412	2098	2926	2192	2294	1588	1623	1506	1463	1558	1350	1586	932	539	612	533	981	345	549	408	233	1843
GAT->T	A->T	31269	2.53930903424101e-09	32639443	2272	2473	1986	2751	2131	2328	1618	1606	1351	1484	1530	1260	1593	957	522	710	559	958	359	618	413	233	1557
GAT->G	A->G	69329	5.6301050892224e-09	32639443	5021	5461	4320	5625	4703	5258	3657	3436	3240	3387	3261	2847	3190	2115	1341	1754	1360	2140	944	1462	937	654	3216
GAT->C	A->C	15640	1.27010116394926e-09	32639443	1167	1224	963	1258	1047	1179	791	787	716	782	732	666	733	458	332	398	276	495	232	333	205	159	707
CAT->T	A->T	35314	2.07114425741152e-09	45194009	2566	2769	2297	3028	2347	2615	1858	1890	1653	1781	1627	1502	1704	1054	631	778	581	1139	413	689	447	314	1631
CAT->G	A->G	202655	1.18855904028355e-08	45194009	14882	16393	12916	16136	13466	14640	11042	10398	9455	10097	9323	8513	9382	6088	4045	4812	3957	6368	2773	4649	2657	2084	8579
CAT->C	A->C	31354	1.83889270677014e-09	45194009	2236	2486	2005	2517	2097	2337	1712	1656	1490	1556	1551	1297	1393	934	632	770	581	921	396	655	410	270	1452
CAA->C	A->C	33146	1.88323445167548e-09	46652083	2435	2603	2212	2708	2164	2332	1817	1684	1631	1638	1522	1378	1527	962	698	775	627	968	474	689	463	287	1552
CAA->G	A->G	85250	4.84359310340116e-09	46652083	6417	6897	5236	6547	5460	6313	4595	4200	3986	4238	3777	3613	3794	2543	1773	2070	1755	2589	1498	1972	1092	993	3892
CAA->T	A->T	15229	8.652560630111e-10	46652083	1090	1267	992	1387	996	1180	808	770	707	719	800	595	677	437	301	349	261	463	159	289	188	125	669
CAC->C	A->C	31778	2.39132621959981e-09	35223462	2801	2737	1761	2266	1755	2119	1716	1555	1533	1597	1361	1263	1266	897	705	974	759	898	588	672	472	426	1657
CAC->G	A->G	98289	7.39634535836887e-09	35223462	7366	7722	5617	7068	6021	7096	5381	4932	4487	5256	4326	4175	4154	2915	2176	2694	2308	2906	2135	2499	1350	1417	4288
CAC->T	A->T	19267	1.44986098159197e-09	35223462	1415	1535	1178	1520	1244	1366	1010	1013	844	952	897	811	870	586	392	556	406	562	285	423	234	231	937
