Context	X1mer	Count	Rate	context_in_genome	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
AAA->C	A->C	6161	1.56165632307634e-09	87271167	496	559	422	572	478	400	318	360	315	313	302	250	287	190	125	156	100	193	85	122	77	41
AAA->G	A->G	10757	2.72662507179552e-09	87271167	806	941	755	930	820	788	626	618	553	521	486	472	525	330	206	304	204	335	137	221	113	66
AAA->T	A->T	3683	9.33546540803467e-10	87271167	243	331	266	326	245	286	200	216	208	176	172	187	190	113	69	102	69	106	55	51	48	24
AAC->C	A->C	1903	1.28725790786069e-09	32702297	147	156	145	142	136	149	118	110	110	77	80	74	100	56	36	57	39	65	22	46	23	15
AAC->G	A->G	7820	5.28973034128776e-09	32702297	573	688	543	715	606	612	408	426	371	385	389	314	368	235	157	215	135	268	80	183	102	47
AAC->T	A->T	2255	1.52536341682914e-09	32702297	148	196	157	210	178	181	110	158	100	102	98	120	124	44	50	50	45	81	22	44	25	12
AAG->C	A->C	2791	1.37841315948214e-09	44790454	230	235	192	244	205	191	165	163	129	127	146	104	148	97	44	67	51	104	26	65	33	25
AAG->G	A->G	7619	3.76285555789839e-09	44790454	553	664	550	621	513	585	432	422	404	382	364	315	382	223	158	214	150	243	95	179	113	57
AAG->T	A->T	1901	9.38861847429431e-10	44790454	129	196	135	138	144	135	106	105	113	90	96	86	85	67	44	48	22	61	21	45	20	15
AAT->C	A->C	3126	1.19588094747382e-09	57823725	216	295	222	288	237	245	161	170	145	146	135	125	169	102	61	89	57	108	36	58	41	20
AAT->G	A->G	19176	7.33596066818871e-09	57823725	1421	1739	1269	1618	1469	1375	1052	1149	972	930	895	819	1015	578	399	485	335	661	196	391	278	130
AAT->T	A->T	3938	1.50651924860905e-09	57823725	301	335	275	361	297	301	199	241	195	169	196	158	196	137	72	88	58	143	41	73	69	33
ACA->A	C->A	5842	2.8474079719169e-09	45385476	427	530	400	521	421	472	332	325	312	279	272	236	271	170	123	169	78	205	60	121	80	38
ACA->G	C->G	4508	2.19721245077053e-09	45385476	325	409	305	372	329	334	241	283	257	215	207	187	184	150	113	148	84	140	65	84	48	28
ACA->T	C->T	18747	9.13734290474602e-09	45385476	1390	1655	1261	1566	1330	1373	1028	1037	942	888	910	850	937	591	404	535	344	566	235	458	256	191
ACC->A	C->A	6769	5.92709770484171e-09	25263148	562	571	448	553	501	461	351	401	326	327	330	290	292	204	158	192	155	228	102	180	78	59
ACC->G	C->G	2615	2.28975631528454e-09	25263148	202	240	171	182	190	154	155	176	135	131	128	113	103	76	63	79	56	85	46	73	27	30
ACC->T	C->T	14369	1.25818388123608e-08	25263148	1153	1231	891	1073	1044	1022	791	804	721	744	744	594	667	428	315	430	325	465	219	359	199	150
ACG->A	C->A	1287	5.5715270588649e-09	5109864	110	97	65	102	78	84	80	70	67	73	58	57	67	42	27	45	34	51	18	26	18	18
ACG->G	C->G	857	3.71002229172278e-09	5109864	59	83	50	84	51	63	57	38	48	37	37	31	30	25	22	37	18	28	13	19	15	12
ACG->T	C->T	28068	1.21508641404988e-07	5109864	2250	2456	1757	2129	1862	1921	1522	1574	1358	1530	1316	1279	1241	821	597	887	673	896	462	743	414	380
ACT->A	C->A	3459	2.14406773553532e-09	35687580	279	305	211	321	226	259	184	222	197	155	189	158	160	86	74	100	53	115	32	62	50	21
ACT->G	C->G	4704	2.9157833558711e-09	35687580	325	422	307	406	330	309	280	306	283	239	222	202	204	144	108	151	87	144	61	82	55	37
ACT->T	C->T	14285	8.85458444698527e-09	35687580	1152	1235	998	1138	1025	1044	817	845	660	714	687	620	705	449	252	383	300	465	196	330	179	91
