Context	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	One_mer
AAA->C	2732	3231	2578	3293	2862	2550	2118	2119	1807	1741	1793	1686	1753	1060	757	931	690	1153	497	708	495	281	2254	A->C
AAA->G	4793	5755	4308	5443	4754	4431	3615	3494	3004	2963	3099	2856	3028	1971	1362	1484	1283	2075	755	1246	857	485	3739	A->G
AAA->T	1691	1901	1524	2099	1785	1511	1287	1324	1081	1070	1101	999	1066	643	477	542	400	698	307	414	292	174	1369	A->T
AAC->C	936	1114	830	1038	903	856	711	641	628	605	644	569	593	396	257	329	265	389	184	268	182	119	791	A->C
AAC->G	3776	3982	3166	4105	3508	3290	2663	2622	2227	2177	2296	2082	2271	1371	960	1115	905	1575	549	1065	663	369	3048	A->G
AAC->T	949	1069	877	1205	1007	871	720	722	584	618	612	567	618	396	238	329	250	434	146	262	167	100	953	A->T
AAG->C	1221	1435	1062	1441	1250	1180	895	894	768	740	798	706	704	478	342	421	313	507	188	332	218	141	934	A->C
AAG->G	3648	4048	3120	3985	3382	3104	2508	2508	2247	2183	2244	2044	2146	1375	1010	1217	917	1488	630	1039	638	428	2656	A->G
AAG->T	874	975	765	998	826	786	609	649	497	573	575	529	534	345	224	265	201	360	132	218	180	83	737	A->T
AAT->C	1445	1664	1233	1761	1420	1322	1065	1069	948	847	903	859	948	515	360	384	325	595	210	379	277	144	1174	A->C
AAT->G	8364	9951	7823	9649	8708	7658	6355	6337	5608	5080	5370	4941	5464	3459	2361	2644	1991	3759	1121	2301	1508	834	6477	A->G
AAT->T	1686	1964	1622	2136	1856	1525	1346	1326	1057	997	1096	1007	1140	633	413	515	390	737	239	460	324	138	1560	A->T
ACA->A	2438	2845	2226	2953	2487	2258	1872	1914	1513	1507	1729	1387	1538	1007	580	815	588	1010	359	665	483	244	2213	C->A
ACA->G	1935	2397	1849	2146	1983	1831	1626	1770	1499	1286	1315	1185	1184	813	644	878	502	872	380	575	356	253	1681	C->G
ACA->T	8451	9524	7406	9317	8269	7391	6093	6141	5098	5186	5312	4861	5148	3253	2298	2720	2171	3677	1323	2381	1463	1011	6468	C->T
ACC->A	2806	3096	2412	2958	2624	2436	1939	2053	1616	1715	1857	1597	1566	1076	742	994	710	1168	562	854	457	350	2127	C->A
ACC->G	1195	1340	984	1198	1041	995	905	984	919	755	811	675	619	457	377	594	349	443	282	345	195	189	924	C->G
ACC->T	5206	5455	4084	5057	4445	4207	3434	3626	2900	3215	2991	2811	2831	2077	1426	1776	1466	2044	1040	1635	825	747	3988	C->T
ACG->A	655	699	496	674	507	535	509	512	367	416	388	364	367	252	169	287	191	289	149	227	123	107	535	C->A
ACG->G	505	488	339	489	342	390	342	335	314	277	312	245	266	199	162	211	134	193	125	133	87	75	339	C->G
ACG->T	12478	13860	9471	11856	10843	10228	8961	8692	7016	8185	7421	7079	6660	4759	3276	4454	3852	5289	2701	4156	2159	2068	8928	C->T
ACT->A	1444	1758	1390	1821	1546	1272	1112	1164	988	910	1012	890	879	588	432	519	325	645	222	413	260	159	1257	C->A
ACT->G	1927	2420	1750	2236	2033	1761	1638	1764	1634	1237	1293	1187	1170	792	673	888	484	798	331	497	351	226	1713	C->G
ACT->T	5956	6481	5150	6655	5614	5117	4169	4242	3462	3557	3749	3379	3689	2374	1504	1801	1472	2506	946	1647	1043	608	4673	C->T
AGA->A	5563	5800	4436	5810	5045	4747	3675	3746	3126	3365	3336	3023	3082	1982	1345	1679	1394	2196	853	1553	931	599	4250	C->T
AGA->C	3118	3776	2791	3293	3018	2725	2379	2718	2640	2015	2043	1764	1668	1328	992	1479	790	1213	547	913	536	419	2581	C->G
AGA->T	2585	2968	2410	3130	2588	2404	1863	1907	1575	1597	1698	1517	1658	1029	659	769	599	1098	363	738	471	263	2390	C->A
AGC->A	5327	5545	4260	5311	4730	4378	3490	3657	2947	3317	3316	3008	2855	1970	1309	1749	1445	2110	901	1677	874	689	4041	C->T
AGC->C	1279	1444	1083	1198	1105	1070	962	1110	998	818	788	696	629	478	403	677	376	470	275	386	182	191	897	C->G
AGC->T	1222	1408	1130	1354	1223	1144	926	965	764	794	836	740	713	491	345	456	343	527	239	401	245	184	967	C->A
AGG->A	6945	7349	5389	6730	5796	5635	4674	4766	3804	4304	4166	3850	3644	2509	1799	2435	1934	2702	1355	2199	1189	1084	5315	C->T
AGG->C	1807	2049	1548	1702	1641	1489	1359	1470	1462	1178	1170	1041	869	714	602	1021	532	698	417	585	266	305	1314	C->G
AGG->T	1431	1533	1162	1493	1320	1137	1065	1033	864	900	924	817	802	516	394	540	410	564	280	445	231	185	1102	C->A
ATA->A	1606	1865	1537	2060	1735	1507	1247	1267	1046	931	1058	984	1122	642	372	464	366	709	209	401	302	123	1446	A->T
ATA->C	9449	11511	9001	11854	10103	8919	7198	7196	6399	5678	6207	5542	6654	4002	2584	2808	2150	4219	1151	2442	1798	800	7726	A->G
ATA->G	1142	1361	1040	1399	1201	1057	878	849	742	688	714	674	781	454	278	337	255	471	113	291	221	107	1033	A->C
ATC->A	1600	1896	1561	2054	1722	1564	1262	1290	993	1043	1133	999	989	707	369	531	379	713	250	479	310	182	1421	A->T
ATC->C	3153	3582	2809	3558	3067	2703	2394	2330	1963	1880	2043	1874	1908	1296	838	1087	729	1336	501	924	560	352	2496	A->G
ATC->G	741	787	564	766	670	607	503	502	413	448	446	384	398	272	208	206	176	294	134	198	117	90	522	A->C
ATG->A	1916	2258	1733	2223	1948	1736	1435	1514	1213	1238	1272	1117	1227	737	527	680	444	832	286	590	390	225	1504	A->T
ATG->C	9281	10719	7850	9896	8899	8193	6650	6644	5832	5836	5786	5278	5701	3689	2576	3021	2329	3966	1496	2728	1625	1087	6829	A->G
ATG->G	1510	1821	1403	1787	1570	1468	1143	1183	1038	1060	1021	963	897	644	460	524	363	719	241	458	289	190	1168	A->C
CAA->C	1524	1888	1387	1729	1572	1416	1161	1157	988	975	1011	939	951	619	436	521	394	689	279	432	243	179	1231	A->C
CAA->G	3605	3898	3044	3836	3294	3062	2491	2526	2151	2163	2210	2021	2133	1424	945	1135	951	1502	650	1061	544	392	2677	A->G
CAA->T	791	890	715	907	794	706	618	559	521	468	519	445	469	332	190	258	215	327	120	236	149	79	670	A->T
CAC->C	1120	1196	888	1103	1001	901	877	874	704	735	661	668	623	415	314	489	288	449	259	368	207	176	778	A->C
CAC->G	3766	4048	2906	3499	3241	3050	2696	2485	2274	2371	2260	2124	2104	1364	1033	1348	1204	1521	829	1228	652	598	2681	A->G
CAC->T	979	1089	818	987	831	757	678	682	585	647	542	566	513	341	255	357	286	374	177	312	194	171	678	A->T
CAG->C	1382	1483	1135	1277	1213	1119	1034	986	867	919	888	752	744	519	400	514	391	567	288	440	246	212	868	A->C
