Context	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	Count	One_mer
AAA->C	235	274	272	296	284	281	318	336	318	295	277	273	276	192	138	153	115	184	84	113	85	30	404	A->C
AAA->G	412	458	476	508	500	467	627	625	565	544	465	478	490	323	227	333	222	327	138	222	154	89	709	A->G
AAA->T	123	152	159	200	177	204	229	244	212	181	173	144	203	127	72	100	63	110	63	68	44	24	250	A->T
AAC->C	67	86	91	77	92	91	112	103	109	63	85	79	96	48	37	59	38	46	26	47	24	16	130	A->C
AAC->G	316	328	341	385	387	431	469	427	397	411	399	332	352	236	143	228	133	252	92	199	102	58	568	A->G
AAC->T	81	97	89	124	111	128	132	138	120	108	93	113	132	63	52	49	39	83	27	46	29	15	160	A->T
AAG->C	128	110	143	129	139	123	132	152	138	133	145	103	119	92	45	72	38	98	31	66	29	26	163	A->C
AAG->G	313	356	336	316	318	384	428	430	392	400	358	341	387	224	176	228	135	241	92	185	82	75	454	A->G
AAG->T	73	68	102	86	85	81	91	91	105	99	92	69	82	57	32	52	27	59	26	35	22	20	111	A->T
AAT->C	134	131	157	155	152	149	187	194	150	146	129	143	169	114	64	65	52	115	29	55	39	22	187	A->C
AAT->G	782	862	911	904	909	944	1054	1132	1029	951	941	834	986	607	399	500	359	638	198	423	262	125	1136	A->G
AAT->T	156	153	184	209	205	191	199	248	201	176	182	159	215	125	75	93	70	137	58	62	71	33	296	A->T
ACA->A	224	250	284	277	278	301	323	322	337	283	296	242	278	158	116	166	83	204	63	125	87	51	462	C->A
ACA->G	181	210	226	196	185	200	241	312	274	210	243	187	204	161	101	142	94	146	65	94	45	41	299	C->G
ACA->T	739	831	790	864	862	892	1036	1080	935	838	931	822	896	587	366	530	374	613	228	456	251	206	1128	C->T
ACC->A	311	303	311	304	321	282	384	395	343	313	372	291	303	194	156	189	150	242	93	184	75	65	472	C->A
ACC->G	81	139	127	98	119	115	158	180	149	118	126	90	108	84	52	74	50	79	52	81	35	35	184	C->G
ACC->T	686	639	651	633	647	689	895	874	770	810	818	642	655	484	304	484	352	491	232	387	197	160	930	C->T
ACG->A	78	56	38	64	48	50	76	70	59	78	62	58	74	33	26	44	27	45	24	28	19	19	83	C->A
ACG->G	30	52	34	31	37	41	53	43	62	47	35	34	35	29	22	37	16	24	23	18	15	13	56	C->G
ACG->T	1221	1357	1187	1104	1165	1222	1622	1608	1384	1577	1344	1257	1316	872	614	941	730	927	503	778	372	385	1707	C->T
ACT->A	151	152	164	161	146	158	175	225	194	151	192	164	171	104	58	98	57	124	39	69	49	32	267	C->A
ACT->G	187	249	183	214	227	192	265	321	282	224	216	212	227	134	105	145	85	138	53	99	60	32	287	C->G
ACT->T	605	613	668	670	677	659	830	830	703	738	690	657	704	454	265	404	285	458	202	318	172	94	908	C->T
AGA->A	657	634	656	720	702	699	829	946	764	696	792	666	731	477	315	380	346	484	195	337	195	121	959	C->T
AGA->C	287	360	342	327	327	335	408	455	495	368	354	350	277	237	180	261	129	206	110	168	97	71	479	C->G
AGA->T	253	254	282	308	316	309	333	391	307	302	290	275	306	159	107	159	113	203	61	114	96	36	428	C->A
AGC->A	590	522	550	582	527	623	713	715	611	627	629	599	525	358	230	377	295	366	171	295	147	144	798	C->T
AGC->C	124	142	127	110	105	128	162	165	176	109	129	107	120	87	74	108	55	83	59	73	26	31	147	C->G
AGC->T	126	129	129	151	105	127	167	175	178	135	145	105	128	68	61	113	47	76	53	67	38	36	192	C->A
AGG->A	733	652	657	717	620	701	795	871	730	751	786	646	672	486	381	456	378	458	267	403	201	180	933	C->T
AGG->C	173	198	169	170	161	203	244	300	251	247	203	187	178	154	109	158	102	121	85	97	41	50	251	C->G
AGG->T	149	131	134	149	114	135	153	202	164	166	160	146	135	80	63	111	69	103	48	78	42	35	204	C->A
ATA->A	153	160	167	189	166	189	230	245	182	159	188	162	213	106	63	79	61	106	28	69	60	22	254	A->T
ATA->C	913	967	1124	1168	1218	1092	1331	1390	1220	1043	1154	1030	1223	694	432	529	359	793	195	429	331	133	1523	A->G
ATA->G	96	102	101	123	116	117	134	131	125	99	99	106	113	75	55	44	31	87	19	47	43	12	180	A->C
ATC->A	176	183	201	205	221	200	235	261	213	204	201	177	219	137	68	94	85	168	53	95	60	26	279	A->T
ATC->C	321	314	282	344	303	334	436	409	385	368	375	323	353	217	155	179	143	246	96	162	92	69	439	A->G
ATC->G	66	67	63	59	72	67	78	77	65	68	83	64	58	42	29	42	34	47	21	29	21	8	85	A->C
ATG->A	195	196	183	212	211	212	241	265	238	227	252	217	219	140	70	125	89	166	49	96	58	31	296	A->T
ATG->C	954	953	1053	935	1032	984	1207	1263	1132	1057	1051	953	1016	636	444	571	449	674	220	503	313	186	1269	A->G
ATG->G	160	165	147	171	173	160	208	207	180	175	194	162	180	108	67	111	55	122	36	78	51	28	215	A->C
CAA->C	172	147	140	152	193	149	198	224	189	189	177	170	187	104	80	72	65	103	44	71	52	30	212	A->C
CAA->G	311	338	336	365	382	364	394	431	361	353	358	332	382	205	155	221	140	260	88	189	105	54	439	A->G
CAA->T	68	92	81	107	71	68	100	96	102	71	94	78	87	54	30	43	27	66	20	31	21	15	121	A->T
CAC->C	103	115	125	103	97	125	169	163	127	112	136	129	136	83	62	101	73	77	43	80	31	22	169	A->C
