Context	X1mer	Count	Rate	context_in_genome	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
AAA->C	A->C	10316	1.6464072763059e-09	87271167	788	887	743	915	814	731	584	527	547	484	458	454	538	350	231	238	190	327	141	169	131	69
AAA->G	A->G	17768	2.83572746077969e-09	87271167	1293	1552	1226	1510	1356	1271	1036	964	871	846	851	777	930	517	373	480	357	595	242	358	232	131
AAA->T	A->T	6227	9.93813310348667e-10	87271167	450	568	468	542	497	443	376	343	284	301	299	267	327	179	126	161	107	184	78	101	85	41
AAC->C	A->C	3329	1.41785645089043e-09	32702297	224	335	244	266	276	218	163	190	181	163	135	144	178	96	70	89	61	101	45	79	43	28
AAC->G	A->G	13255	5.64544525579834e-09	32702297	987	1242	901	1114	1013	957	718	798	625	640	586	616	673	400	282	338	264	394	159	287	174	87
AAC->T	A->T	4012	1.70875340371655e-09	32702297	338	339	261	370	321	289	193	232	205	188	212	162	181	123	77	90	61	135	49	102	48	36
AAG->C	A->C	4738	1.473351327158e-09	44790454	344	428	316	399	363	347	277	264	249	235	207	189	242	146	108	129	98	146	52	106	61	32
AAG->G	A->G	12593	3.91598000483341e-09	44790454	949	1182	842	1079	943	915	674	755	630	622	603	518	592	375	272	308	268	409	135	266	161	95
AAG->T	A->T	3110	9.67100596762638e-10	44790454	234	273	227	297	219	250	166	177	151	143	144	127	139	108	55	83	51	110	48	52	37	19
AAT->C	A->C	4984	1.20051805228311e-09	57823725	412	445	319	460	362	378	262	250	269	233	218	193	278	163	104	121	91	188	46	84	76	32
AAT->G	A->G	32369	7.79686373080896e-09	57823725	2407	2994	2348	2873	2412	2257	1804	1780	1698	1545	1448	1374	1656	988	671	865	596	1014	337	650	447	205
AAT->T	A->T	6842	1.64806270339507e-09	57823725	475	604	476	667	551	496	378	379	323	348	290	290	363	228	123	171	112	221	73	137	103	34
ACA->A	C->A	9527	2.92372147255647e-09	45385476	709	798	719	839	668	741	546	512	497	452	468	401	501	259	178	261	158	310	110	182	146	72
ACA->G	C->G	7281	2.23445114324379e-09	45385476	542	666	517	640	545	542	405	423	407	368	350	277	311	217	157	225	124	199	105	122	85	54
ACA->T	C->T	28827	8.84665885266981e-09	45385476	2273	2630	1982	2375	2115	2043	1657	1574	1461	1425	1293	1270	1420	882	569	733	546	969	362	648	352	248
