Context	X1mer	Count	Rate	context_in_genome	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
AAA->C	A->C	19095	1.56447531900714e-09	87271167	1407	1728	1351	1732	1431	1317	1056	1099	946	937	868	819	1018	582	364	455	392	597	226	367	265	138
AAA->G	A->G	33074	2.70979087200011e-09	87271167	2474	2916	2386	2864	2397	2366	1895	1896	1733	1579	1529	1418	1682	993	690	807	644	1061	374	702	430	238
AAA->T	A->T	11339	9.29017315643987e-10	87271167	805	1029	813	969	854	820	595	647	584	552	601	462	601	318	228	284	217	345	127	227	181	80
AAC->C	A->C	5858	1.28082839140054e-09	32702297	447	515	390	538	401	442	332	325	287	282	291	283	271	200	122	152	101	175	69	114	78	43
AAC->G	A->G	24753	5.41214495942941e-09	32702297	1913	2251	1674	2158	1801	1777	1285	1372	1182	1228	1188	1053	1224	759	480	641	493	810	284	581	391	208
AAC->T	A->T	6886	1.50559650105567e-09	32702297	503	601	509	611	506	520	354	427	333	339	342	297	370	204	122	165	130	224	72	126	92	39
AAG->C	A->C	8808	1.40608533376135e-09	44790454	678	824	604	713	626	585	488	502	452	420	423	393	482	244	180	225	199	283	94	207	122	64
AAG->G	A->G	23693	3.78228653642232e-09	44790454	1917	2096	1682	1960	1726	1685	1262	1319	1196	1147	1171	1073	1119	718	524	608	469	720	286	520	305	190
AAG->T	A->T	5846	9.33239652721262e-10	44790454	428	501	407	493	467	395	345	350	294	260	324	249	309	171	115	151	88	188	68	118	82	43
AAT->C	A->C	9377	1.159518514113e-09	57823725	698	828	620	824	706	681	579	520	493	459	417	404	494	261	187	210	183	325	114	187	131	56
AAT->G	A->G	60606	7.49427098926444e-09	57823725	4523	5491	4326	5337	4487	4331	3454	3409	3155	2981	2883	2604	3141	1895	1155	1416	1060	1937	513	1256	858	394
AAT->T	A->T	12213	1.51020578147191e-09	57823725	942	1065	863	1116	956	843	665	737	623	553	578	503	656	359	217	310	211	419	138	203	172	84
ACA->A	C->A	17952	2.82823688432228e-09	45385476	1320	1657	1301	1596	1309	1311	952	1084	860	873	934	775	835	551	359	417	309	537	211	363	270	128
ACA->G	C->G	14123	2.22499941606972e-09	45385476	1041	1307	934	1149	1045	979	784	911	795	698	714	560	639	429	272	414	289	409	184	279	173	118
ACA->T	C->T	58567	9.22690227295584e-09	45385476	4557	5125	4068	4826	4232	4145	3240	3337	2871	2890	2900	2592	2931	1780	1203	1515	1106	1942	696	1283	786	542
ACC->A	C->A	22332	6.3206244928712e-09	25263148	1722	1988	1520	1743	1544	1524	1269	1327	1066	1185	1115	1019	1035	683	415	657	492	656	360	527	293	192
ACC->G	C->G	8355	2.36471510110778e-09	25263148	618	748	559	629	558	529	494	535	493	404	403	344	365	260	195	284	163	232	129	196	131	86
ACC->T	C->T	38350	1.08541979805486e-08	25263148	3112	3436	2626	2938	2577	2666	2114	2122	1844	1968	1937	1673	1754	1184	792	1079	891	1132	590	949	532	434
ACG->A	C->A	4183	5.85326733504326e-09	5109864	335	337	272	325	273	275	211	222	173	241	182	186	174	142	98	157	98	159	74	108	76	65
ACG->G	C->G	2827	3.95581801486189e-09	5109864	223	255	173	192	145	208	169	143	154	147	118	112	127	95	80	104	71	84	59	82	45	41
ACG->T	C->T	91917	1.28619357789905e-07	5109864	7307	8286	5841	6842	6109	6070	5150	5037	4257	5162	4463	4000	4154	2807	1888	2838	2259	3080	1558	2385	1251	1173
ACT->A	C->A	11125	2.22896247647071e-09	35687580	812	980	785	998	799	775	641	654	531	548	635	495	563	317	222	318	196	308	124	196	148	80
ACT->G	C->G	14412	2.88753323244008e-09	35687580	1047	1303	1025	1161	1065	942	886	923	891	672	663	563	650	429	306	464	260	444	159	290	158	111
ACT->T	C->T	41783	8.37148217117983e-09	35687580	3240	3600	2963	3490	3042	3009	2281	2447	2016	2068	2167	1785	2054	1202	866	1037	810	1307	555	913	562	369
TCT->T	C->T	40348	5.77655866266367e-09	49942774	3152	3559	2779	3349	2893	2858	2197	2331	1930	1991	2011	1742	1924	1197	785	1093	823	1294	509	968	557	406
TCT->G	C->G	22819	3.26695975322995e-09	49942774	1588	2102	1634	1813	1680	1499	1323	1393	1374	1079	1103	944	929	661	521	773	419	690	300	488	293	213
TCT->A	C->A	19172	2.74482459305512e-09	49942774	1435	1691	1448	1700	1417	1394	1043	1115	932	899	1022	813	936	571	349	486	326	551	214	410	294	126
GCT->T	C->T	37457	8.84987054562767e-09	30263274	3007	3262	2520	3005	2599	2568	2003	2168	1745	1967	1978	1672	1692	1096	750	1031	792	1235	520	953	539	355
GCT->G	C->G	8817	2.08317026459138e-09	30263274	641	783	562	645	596	590	518	578	433	452	455	352	394	253	237	330	200	229	138	219	109	103
GCT->A	C->A	9174	2.16751775063642e-09	30263274	717	805	642	750	647	634	484	552	433	470	468	408	418	253	184	292	167	269	131	235	115	100
CCT->T	C->T	47231	8.7992010463365e-09	38379891	3843	4059	3188	3716	3242	3193	2625	2690	2241	2490	2333	2079	2047	1379	983	1344	1098	1503	783	1234	641	520
CCT->G	C->G	13424	2.50090988643097e-09	38379891	1056	1181	889	1010	980	848	719	870	779	656	624	514	516	405	366	490	314	378	218	300	159	152
CCT->A	C->A	10015	1.86580844104635e-09	38379891	814	905	650	803	683	672	533	615	514	468	539	420	439	301	223	301	228	302	147	232	125	101
TAT->T	A->T	11364	1.68607660067103e-09	48191868	838	1035	910	1090	825	815	630	632	549	494	552	503	602	325	220	279	169	369	100	201	159	67
TAT->G	A->G	71290	1.0577296802344e-08	48191868	5255	6580	5159	6599	5419	5090	3981	3963	3552	3217	3514	3025	3920	2213	1275	1612	1174	2391	585	1309	1051	406
TAT->C	A->C	7326	1.0869585688592e-09	48191868	524	696	521	699	568	518	372	415	387	314	357	319	401	209	137	178	141	221	71	124	115	39
GAT->T	A->T	14021	3.32113298752078e-09	30186486	1147	1213	983	1261	1003	983	792	780	646	709	737	564	708	431	254	358	239	471	155	289	194	104
GAT->G	A->G	22270	5.27506109636173e-09	30186486	1651	1990	1564	1919	1598	1632	1288	1310	1146	1108	1106	963	1053	645	426	562	446	697	238	466	283	179
GAT->C	A->C	4474	1.05974958891434e-09	30186486	331	397	307	356	317	328	271	264	213	230	197	185	215	146	95	134	106	142	49	105	50	36
CAT->T	A->T	14481	2.47851817371354e-09	41775945	1088	1261	1010	1258	1151	970	780	843	706	742	700	612	738	415	278	371	265	506	158	315	208	106
CAT->G	A->G	64936	1.11142225073035e-08	41775945	4910	5786	4539	5564	4726	4590	3651	3633	3230	3153	3092	2778	3258	1974	1378	1671	1274	2165	726	1407	890	541
CAT->C	A->C	11373	1.94656357914813e-09	41775945	820	1020	789	946	828	763	649	691	606	565	526	472	547	348	221	309	248	376	142	246	158	103
CAA->C	A->C	10958	1.81896859786943e-09	43075064	828	946	784	929	803	777	617	620	603	534	523	461	501	332	235	298	240	340	132	211	154	90
CAA->G	A->G	22762	3.77836860966454e-09	43075064	1823	2070	1532	1873	1611	1645	1320	1274	1123	1113	1097	1003	1133	666	466	572	438	774	259	478	305	187
CAA->T	A->T	5562	9.23261849000709e-10	43075064	403	461	381	491	410	421	309	365	276	263	283	241	276	166	101	145	101	183	55	116	69	46
CAC->C	A->C	7987	1.74357729635308e-09	32753847	634	674	533	607	517	584	503	456	417	421	360	336	354	207	203	263	159	243	125	192	115	84
CAC->G	A->G	22792	4.97553696487784e-09	32753847	1895	1953	1519	1761	1539	1605	1263	1294	1170	1176	1082	936	1083	665	488	661	537	728	350	532	305	250
CAC->T	A->T	6501	1.4191806690361e-09	32753847	531	556	421	477	437	437	361	412	306	381	324	276	296	187	145	213	147	210	76	169	73	66
CAG->C	A->C	9630	1.57555778947443e-09	43703054	752	905	625	770	633	661	538	540	506	470	489	413	439	318	219	297	227	258	134	213	123	100
CAG->G	A->G	31816	5.20539425025114e-09	43703054	2616	2794	2078	2412	2258	2163	1828	1742	1523	1666	1530	1343	1444	952	749	905	782	926	569	782	376	378
CAG->T	A->T	7062	1.15540904561458e-09	43703054	562	616	399	556	477	522	431	392	325	388	388	307	286	199	157	191	159	216	118	178	112	83
CCA->A	C->A	12824	2.27583558247815e-09	40290482	1027	1139	837	1024	907	895	666	771	642	660	669	529	584	397	254	377	270	362	173	337	171	133
CCA->G	C->G	9582	1.70048787829894e-09	40290482	785	873	634	641	647	597	512	606	539	514	472	370	395	285	203	363	232	265	161	228	141	119
CCA->T	C->T	38448	6.82324754172801e-09	40290482	3120	3288	2621	2848	2685	2558	2043	2173	1861	2078	1940	1647	1610	1172	892	1185	935	1170	659	1008	489	466
CCC->A	C->A	12115	3.13692353372338e-09	27614636	1015	1068	751	856	830	755	650	727	591	682	597	526	486	383	277	392	304	373	231	301	151	169
CCC->G	C->G	11989	3.10429849325708e-09	27614636	1026	1066	726	821	765	764	655	703	660	646	558	510	462	375	279	418	323	359	210	311	151	201
CCC->T	C->T	36184	9.3690830494632e-09	27614636	3015	3137	2235	2553	2397	2422	1947	2032	1724	2010	1824	1511	1509	1068	841	1190	980	1130	664	992	486	517
CCG->A	C->A	3325	4.62652243872715e-09	5138742	281	278	205	221	195	196	209	185	141	191	155	131	156	106	80	125	104	80	79	89	56	62
CCG->G	C->G	3333	4.63765392128649e-09	5138742	263	291	186	215	191	213	167	184	168	187	151	138	126	99	90	132	107	107	109	97	43	69
CCG->T	C->T	78273	1.08911816795937e-07	5138742	6564	6934	4596	5070	4825	4934	4522	4178	3748	4344	3663	3429	3127	2332	1859	2707	2439	2379	1905	2299	1095	1324
TCG->T	C->T	57105	9.19137151265749e-08	4442359	4677	5020	3556	4166	3738	3797	3317	3051	2731	3269	2710	2492	2427	1714	1256	1891	1500	1688	1086	1497	748	774
TCG->G	C->G	2976	4.79003968508339e-09	4442359	249	255	177	189	193	179	192	172	147	157	125	134	108	109	72	117	85	86	61	81	36	52
TCG->A	C->A	3000	4.82866903738245e-09	4442359	230	242	184	245	211	206	161	157	150	180	139	126	136	109	65	101	74	95	56	73	38	22
GCG->T	C->T	64096	1.05047894314e-07	4362781	5281	5512	3860	4281	4117	4090	3725	3462	3046	3516	3077	2850	2553	1918	1472	2221	1917	1962	1485	1774	912	1065
GCG->G	C->G	1978	3.24177382290771e-09	4362781	155	151	127	152	124	126	128	105	101	100	95	92	91	51	56	65	52	68	42	51	26	20
GCG->A	C->A	4775	7.82581901131663e-09	4362781	381	422	279	338	274	336	252	249	220	265	223	229	232	127	103	149	125	154	122	144	72	79
TAG->T	A->T	4128	1.01575750482797e-09	29058252	305	398	291	380	299	287	228	251	224	207	200	151	184	123	92	101	70	119	35	78	81	24
TAG->G	A->G	20961	5.15777448127402e-09	29058252	1648	1771	1469	1922	1467	1493	1126	1254	1058	1029	1034	884	1039	642	439	523	382	696	229	405	286	165
TAG->C	A->C	4214	1.03691911951189e-09	29058252	355	377	310	390	292	295	223	209	220	232	200	194	210	93	77	109	72	129	58	80	58	31
GAG->T	A->T	5731	1.11591936138804e-09	36721248	447	479	382	451	387	352	312	303	297	301	324	263	290	158	129	189	130	168	93	154	64	58
GAG->G	A->G	15832	3.08274914142305e-09	36721248	1326	1400	1052	1182	1113	1039	855	913	798	809	765	742	693	475	343	421	385	472	270	405	215	159
GAG->C	A->C	6144	1.19633721102218e-09	36721248	493	532	388	507	414	419	387	314	302	315	284	279	285	178	136	201	116	186	107	157	73	71
GAA->C	A->C	7113	1.13912178997202e-09	44648049	547	687	529	603	541	507	386	364	369	346	361	330	313	178	134	182	136	210	90	155	91	54
GAA->G	A->G	18571	2.97407996085624e-09	44648049	1386	1656	1268	1574	1377	1323	1043	1039	879	878	985	801	987	539	354	473	352	594	221	401	302	139
GAA->T	A->T	6044	9.67925221227457e-10	44648049	476	508	400	542	471	413	306	369	310	283	322	240	306	174	132	163	123	180	69	133	88	36
GAC->C	A->C	2817	9.73063975938405e-10	20699759	223	248	195	238	181	202	144	148	130	138	150	127	125	101	71	76	71	76	42	69	33	29
GAC->G	A->G	13221	4.56687214266300e-09	20699759	1043	1094	910	1171	934	906	659	722	614	760	648	577	596	391	246	384	289	386	194	348	223	126
GAC->T	A->T	6141	2.12125874200843e-09	20699759	471	562	405	525	417	388	351	367	294	322	297	240	299	182	108	179	142	189	93	153	87	70
GCA->A	C->A	15841	3.58873027723655e-09	31561789	1265	1373	1105	1381	1114	1129	856	897	723	786	797	687	695	496	305	439	316	508	214	378	229	148
GCA->G	C->G	6897	1.56249433256111e-09	31561789	545	659	445	496	432	441	374	425	367	407	341	288	314	210	167	216	129	211	102	157	98	73
GCA->T	C->T	31459	7.12694058402782e-09	31561789	2478	2843	2003	2446	2219	2207	1744	1814	1497	1615	1620	1339	1448	932	654	899	696	983	489	790	387	356
GCC->A	C->A	14331	4.14076366141095e-09	24746620	1207	1306	946	1067	961	979	767	823	665	779	729	595	620	392	321	448	333	426	253	366	191	157
GCC->G	C->G	7661	2.21355037401921e-09	24746620	682	640	483	543	478	444	446	451	398	381	406	337	300	226	199	265	176	248	165	201	93	99
GCC->T	C->T	33635	9.71841363139748e-09	24746620	2692	2863	2189	2457	2217	2281	1800	2047	1590	1814	1749	1477	1390	963	703	1077	860	1022	617	931	437	459
TCC->T	C->T	41260	8.72848897013882e-09	33799478	3415	3686	2617	3132	2888	2795	2238	2346	1981	2130	2016	1843	1819	1346	911	1176	954	1289	643	1077	483	475
TCC->G	C->G	11373	2.40594050066381e-09	33799478	848	1034	755	831	757	742	666	706	654	609	552	461	453	317	267	424	238	326	184	283	124	142
TCC->A	C->A	12757	2.69872355288563e-09	33799478	999	1162	862	1051	826	834	685	723	663	643	687	553	593	406	269	374	274	395	167	303	154	134
TAC->T	A->T	4171	1.17929310310585e-09	25289385	347	349	275	376	317	306	225	229	219	202	217	200	202	141	62	117	64	114	34	86	57	32
TAC->G	A->G	22673	6.41048010710116e-09	25289385	1735	1998	1637	2099	1677	1660	1202	1249	1128	1079	1084	964	1164	637	449	546	449	757	245	430	325	159
TAC->C	A->C	3383	9.56496899498224e-10	25289385	229	320	244	319	236	222	185	190	188	165	191	133	148	109	76	98	58	97	27	65	57	26
TAA->C	A->C	8211	1.23358319961448e-09	47593478	555	747	599	750	644	610	478	443	442	392	422	331	437	231	171	185	133	252	70	143	120	56
TAA->G	A->G	27511	4.13312719578541e-09	47593478	2083	2451	1959	2553	2108	1966	1554	1522	1372	1323	1313	1156	1524	798	499	590	460	900	258	529	394	199
TAA->T	A->T	10458	1.57116223378008e-09	47593478	777	977	702	921	776	791	592	562	500	491	530	430	570	320	224	245	191	356	111	169	153	70
TCA->A	C->A	12747	2.06810780394297e-09	44071177	932	1134	902	1167	971	898	735	713	620	606	579	551	641	388	271	351	199	404	147	250	181	107
TCA->G	C->G	12279	1.99217821641294e-09	44071177	879	1096	852	977	891	807	661	796	720	569	621	517	531	408	279	395	234	351	147	274	170	104
TCA->T	C->T	36709	5.95576758256395e-09	44071177	2842	3206	2575	2891	2662	2590	1975	2089	1801	1848	1895	1660	1774	1104	753	1005	743	1207	492	800	473	324
